#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
 140	    80	 	 37000.000	<	 28000.000	 100	  9 obs. 10/67;
 140	    80	<	  1000.000	 	     0.000	 266	  72-77; monitored for 8.5h;
 140	   150	 	 25000.000	 	  3000.000	 100	  7 obs. 10/67;
 140	   153	 	  5000.000	<	  2000.000	 240	  4 obs. 08/65;
 140	   160	 	  1700.000	<	   300.000	 266	  72-77; monitored for 76.5h;
 140	   240	 	  8000.000	<	  2000.000	  32	  60-63; monitored for 988h;
 140	   240	 	  3000.000	<	   100.000	  37	  09/60-01/61; monitored for 360h;
 140	   240	 	 13300.000	<	   100.000	  38	  2 obs. 10/63;
 140	   240	 	   900.000	<	   100.000	  39	  3 obs. 10/63;
 140	   327	<	     7.000	 	     0.000	 680	  10/87; monitored for 4 h; comp.B;
 140	   333	<	    21.000	 	     0.000	 671	  11/87; monitored for 8 h;
 140	   408	 	  4700.000	<	   100.000	  38	  2 obs. 10/63;
 140	   408	 	 10600.000	<	   500.000	 105	  10/72; flare;
 140	   408	<	   800.000	 	     0.000	 240	  4 obs. 08/65;
 140	   843	<	     1.000	 	     0.000	 576	  10/85;
 140	   843	<	     2.000	 	     0.000	 629	  4 obs. 86/87;
 140	  1400	<	    10.000	 	     0.000	 415	  08/81;
 140	  1400	<	    10.000	 	     0.000	 424	  08/81;
 140	  1400	 	     3.550	 	     1.520	1103	  5 obs 06/91-01/92: comp. B;
 140	  1410	<	   200.000	 	     0.000	 240	  4 obs. 08/65;
 140	  1415	 	    80.000	 	     8.000	 573	  08/85;monitored 9 h;narrow-band polarized flare;comp.A
 140	  1415	 	   217.000	 	     0.000	 588	  06/86;monitored 5h;2flares,50MHz dynamic spectra;compB
 140	  1465	 	     7.200	<	     1.500	 378	  2 obs. 12/80; L726-8A; LH-polarized;
 140	  1465	 	    43.000	<	     1.000	 378	  2 obs. 12/80; L726-8B;
 140	  1465	 	     7.000	 	     1.000	 481	  02/85; flares on comp.B
 140	  1465	 	     1.400	 	     0.000	 481	  02/85; flare on comp.A
 140	  1465	 	     3.010	 	     2.170	 500	  2 obs. 08/83; circ.pol.about 65%; comp.B;
 140	  1465	 	     1.050	 	     0.000	 500	  2 obs. 08/83; comp.A;
 140	  1465	 	    12.000	 	     1.700	 552	  6 obs. 02/85; polarized flare; comp.B;
 140	  1465	 	    22.500	<	     0.200	 640	  03/85; monitored for 2h;pol.flare;comp.A;same in (679)
 140	  1465	 	     5.500	 	     2.500	 640	  03/85; monitored for 2h; comp.B; same data in (679);
 140	  1465	 	     1.850	 	     0.000	 680	  10/87; monitored for 4h; comp.B;
 140	  1484	 	     8.800	 	     2.300	 671	  11/87; monitored for 8 h;
 140	  1495	 	     2.000	<	     1.000	 589	  07/86; monitored for 6h; 1 flare; comp.A;
 140	  1495	 	    20.000	 	     1.000	 589	  07/86; monitored 6h; 2 flares; dynamic spectra; comp.B
 140	  1515	 	    60.000	 	     4.000	 573	  08/85;monitored 9 h;narrow-band polarized flare;comp.A
 140	  2650	<	  1000.000	<	   400.000	 100	  9 obs. 10/67;
 140	  2695	<	    60.000	 	     0.000	1070	  10/87; monitored for 3h; mapping vicinity;
 140	  4750	 	   250.000	<	    30.000	1094	  12/91; monitored for 4h; 1 polarized flare;
 140	  4760	<	     0.200	 	     0.000	 589	  07/86; monitored for 6h; comp.A;
 140	  4760	 	     4.000	 	     1.000	 589	  8 obs. 07/86; monitored for 6h; 2 flares; comp.B;
 140	  4760	 	     2.754	 	     1.696	 724	  2 obs. 07/86-11/87; narrow band spectra; comp.B;
 140	  4860	 	     1.200	 	     0.000	 678	  09/86-03/87;
 140	  4885	 	     1.550	 	     0.000	 355	  10/80; steady emission of UV Cet;
 140	  4885	 	     7.500	<	     1.000	 378	  12/80; L726-8A; flare;
 140	  4885	 	    12.000	<	     2.000	 392	  10/80; L726-8AB; flare of comp.B; RH-polarized;
 140	  4885	 	     4.000	 	     1.000	 415	  4 obs. 10/80-10/81; RH-polarized;
 140	  4885	 	     4.000	 	     1.000	 424	  4 obs. 10/80-10/81; RH-polarized;
 140	  4885	 	     2.000	 	     0.000	 481	  02/85; steady emission comp.B;
 140	  4885	 	     0.950	 	     0.000	 487	  08/83-03/84; quiescent comp. A;
 140	  4885	 	     0.600	 	     0.300	 500	  2 obs. 08/83; comp.B;
 140	  4885	 	     1.270	 	     0.000	 500	  2 obs. 08/83; comp.A;
 140	  4885	 	     0.340	 	     0.000	 552	  02/85; steady emission; comp.A;
 140	  4885	 	     2.760	 	     0.000	 552	  02/85; steady emission; comp.B;
 140	  4885	 	     3.000	<	     0.100	 637	  08/85; monitored for 7 h; weak flares both comp.;
 140	  4885	 	     4.000	 	     0.280	 679	  03/85; monitored for 2h; comp.A; same data in (640);
 140	  4885	 	     4.140	 	     2.380	 679	  03/85; monitored for 2h; comp.B; same data in (640);
 140	  4885	 	     0.800	 	     0.000	 680	  10/87; comp.A;
 140	  4885	 	     2.150	 	     1.450	 680	  2 obs. 10/87; comp.B;
 140	  4885	 	     1.957	 	     0.000	 932	  90/91?; comp.B;
 140	  4885	 	     2.120	 	     1.190	1103	  5 obs 06/91-01/92: comp. B;
 140	  4885	 	     3.000	 	     0.200	1173	  01/95: comp. B; monitored 12h; several flares;
 140	  5000	<	     9.000	 	     0.000	 451	  04/75-10/80, monitored for 17h;
 140	  8400	 	     0.400	 	     0.000	 680	  10/87; comp.A;
 140	  8400	 	     1.600	 	     1.100	 680	  2 obs. 10/87; comp.B;
 140	  8400	 	     1.650	 	     0.000	 932	  90/91?; comp.B;
 140	  8413	 	     8.500	 	     0.000	1242	  02/96; comp.B; VLBA resolved corona;
 140	  8413	 	    35.000	 	     1.000	1242	  02/96; sum comp.A and B; VLA; monitored 5h; flares;
 140	  8420	 	     2.610	 	     0.000	1403	  04/96: comp. B;
 140	  8440	 	     1.250	 	     0.830	1103	  5 obs 06/91-01/92: comp. B;
 140	  8440	 	     3.500	<	     0.500	1153	  01/94: monitored 25.9h; comp. B;
 140	  8440	 	     2.600	 	     0.300	1173	  01/95: comp. B; monitored 17h; several flares;
 140	 10600	<	    25.000	 	     0.000	 203	  12/72;
 140	 14000	 	     1.500	 	     0.470	1103	  5 obs 06/91-01/92: comp. B;
 140	 14864	 	     0.860	<	     0.300	1003	  10/89; comp. B and A;
 140	 14960	<	     0.700	 	     0.000	1403	  04/96: comp. B;
 140	 14965	 	     0.550	 	     0.000	 680	  10/87; comp.A;
 140	 14965	 	     1.600	 	     1.550	 680	  2 obs. 10/87; comp.B;
 140	 22000	<	 10000.000	 	     0.000	 681	  12/85; comp.B;
 140	 22200	 	     1.850	 	     0.000	 680	  10/87; comp.B;
 140	 22480	<	     1.570	 	     0.000	1403	  04/96: comp. B;
 140	 43310	<	     0.950	 	     0.000	1403	  04/96: comp. B;
 140	250000	<	     9.000	 	     0.000	 950	  12/87-01/88;
 141	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 142	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 143	  8400	<	     5.200	 	     0.000	 617	  10 obs. 81-84;
 144	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 145	 10520	<	    20.000	 	     0.000	  55	  2 obs. 12/72;
 145	 10600	<	    25.000	 	     0.000	 203	  12/72-02/73;
 145	 10600	<	    27.000	 	     0.000	 351	  72-79;
 145	 10680	<	    20.000	 	     0.000	 191	  75;
 145	 10690	<	     5.000	 	     0.000	 155	  02/73;
 145	 14965	<	     0.510	 	     0.000	 747	  02/88;
 145	 14965	<	     0.340	 	     0.000	 754	  11/88;
 145	 22500	<	    90.000	 	     0.000	 563	  02/78;
 145	 90000	<	   100.000	 	     0.000	 183	  12/75;
 145	250000	 	    28.300	 	     0.000	1400	  12/92;
 146	 10500	<	    15.000	 	     0.000	 210	  08/75;
 147	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 148	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 149	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 150	  4850	<	    50.000	 	     0.000	 197	  08/69;
 151	  1465	<	     0.250	 	     0.000	1398	  03/93;
 151	250000	<	    11.000	 	     0.000	1398	  03/98;
 152	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 153	  2695	<	    15.000	 	     0.000	 156	  09/73;
 153	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
 153	  5000	<	     5.000	 	     0.000	 155	  11/72;
 153	  8085	<	    15.000	 	     0.000	 156	  09/73;
 153	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
 153	 10600	<	    25.000	 	     0.000	 203	  02/73;
 153	 10690	<	     5.000	 	     0.000	 155	  05/73;
 154	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
 154	  8400	<	     8.200	 	     0.000	 617	  8 obs. 81-84;
 155	 10500	<	    20.000	 	     0.000	 210	  08/75;
 156	 22500	<	    95.000	 	     0.000	 563	  02/78;
 156	250000	<	     7.000	 	     0.000	 950	  2 obs. 12/86-01/88;
 157	  2695	<	    14.000	 	     0.000	 212	  /75;
 157	  4885	<	     0.500	 	     0.000	 337	  08/80;
 157	  5000	<	    15.000	 	     0.000	 220	  10-11/76;
 157	  8085	<	    14.000	 	     0.000	 212	  /75;
 158	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 159	  4885	<	     0.180	 	     0.000	 759	  07/87; same data in (886); both comp.;
 159	 15000	<	     3.000	 	     0.000	 158	  01/75;
 160	  2380	<	     3.000	 	     0.000	 504	  3 obs. 02-04/80;
 161	  2695	<	     7.000	 	     0.000	 212	  /75;
 161	  8085	<	     7.000	 	     0.000	 212	  /75;
 162	  2695	<	    15.000	 	     0.000	 156	  09/73;
 162	  8085	<	    15.000	 	     0.000	 156	  09/73;
 162	 10600	<	    27.000	 	     0.000	 351	  72-79;
 163	  5000	<	     2.000	 	     0.000	1188	  07/92;
 163	  8400	<	     4.700	 	     0.000	 714	  11 obs. 02/87-07/88;
 164	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
 164	  4885	<	     0.490	 	     0.000	 458	  02/82; same data in (745);
 164	  4995	<	     1.160	 	     0.000	 798	  10/88;
 164	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
 164	  8440	 	     0.450	 	     0.000	 956	  02/91;
 164	 10600	<	    21.000	 	     0.000	 351	  72-79;
 164	 22200	<	    90.000	 	     0.000	 351	  75-79;
 164	275000	<	    45.000	<	    79.000	1051	  2 obs. 10/92-05/93;
 165	   430	<	   180.000	 	     0.000	 217	  11-12/75;
 165	  1465	<	     0.480	 	     0.000	 579	  07/86; same data in (737);
 165	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 165	  4885	<	     0.260	 	     0.000	 579	  07/86; same data in (737);
 166	  2695	<	     7.000	 	     0.000	 212	  /75;
 166	  4885	<	     0.120	 	     0.000	1264	  10/92;
 166	  8085	<	     7.000	 	     0.000	 212	  /75;
 166	 10600	<	    25.000	 	     0.000	 203	  08/73;
 166	 10690	<	     5.000	 	     0.000	 155	  06/73;
 167	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 168	 10600	<	    27.000	 	     0.000	 351	  72-79;
 169	  4885	 	     9.300	 	     0.500	1241	  2 obs. 03/96-01/97; monitored 24h each; flares;
 169	  4885	 	     2.000	 	     0.100	1241	  01/97;monitored 24h;suggested companion,called comp.C;
 169	  8440	 	     0.630	 	     0.000	1044	  08/93; same data in (1097);
 169	  8440	 	    13.000	<	     1.000	1101	  20 obs. 09/94; flares;
 170	 10500	<	    15.000	 	     0.000	 210	  08/75;
 171	  4885	<	     0.220	 	     0.000	 524	  01/83-06/85;
 171	250000	<	    16.000	 	     0.000	 950	  03/89;
 172	  4885	<	     0.250	 	     0.000	 759	  03/84;
 173	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 174	  4885	<	     0.440	 	     0.000	 401	  09/82;
 174	  5000	<	     1.400	<	     3.500	 669	  2 obs. 08-09/86-07/87;
 175	  4885	<	     0.170	 	     0.000	 524	  01/83-06/85;
 176	  4885	<	     0.300	 	     0.000	 817	  ?;
 176	  5000	<	     1.200	<	     4.500	 669	  2 obs. 08-09/86-07/87;
 176	  5000	<	     6.000	 	     0.000	 822	  86-89;
 177	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 178	  4885	<	     1.300	 	     0.000	 817	  ?;
 179	  2380	<	     3.000	 	     0.000	 504	  04/80;
 180	  5000	 	     1.500	 	     0.000	1024	  02/93;
 180	 10500	 	     1.400	 	     0.000	1024	  02/93;
 181	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
 181	  4885	 	     0.200	 	     0.000	 738	  11/84; comp. A;
 181	  4885	<	     0.210	 	     0.000	 788	  11/84; comp. B;
 181	  5000	<	     4.000	 	     0.000	 220	  10-11/76;
 182	  4885	<	     0.160	 	     0.000	 582	  06/84;
 183	  8400	<	     5.400	 	     0.000	1115	  10 obs. 02/89-05/90;
 184	  4885	<	     0.500	 	     0.000	 542	  84-85;
 185	  4885	<	     0.200	 	     0.000	 424	  /81;
 185	  5000	<	     4.000	 	     0.000	 220	  10-11/78;
 186	  8400	<	     0.100	 	     0.000	 800	  02/89;
 187	 10690	<	    10.000	 	     0.000	 155	  06/73;
 187	 22500	<	    70.000	 	     0.000	 563	  02/78;
 188	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 189	  1400	<	     0.600	 	     0.000	1161	  02/94;
 190	  1420	<	     2.800	 	     0.000	 665	  05/87;
 190	  4885	 	     0.740	 	     0.000	 425	  10/81;
 190	  4885	<	     0.230	 	     0.000	 609	  08/85;
 190	  4885	<	     0.160	 	     0.000	 736	  10/86;
 190	  8440	 	     0.350	 	     0.000	 962	  12/89;
 190	  8440	 	     0.400	 	     0.000	1022	  12/89-02/91;
 190	  8440	 	     0.490	 	     0.350	1202	  10 obs.09/90-05/91; same data in (1112);
 190	 10690	<	     5.000	 	     0.000	 155	  02/73;
 190	 10690	<	    25.000	 	     0.000	 203	  02/73;
 190	 14940	 	     0.930	 	     0.000	 962	  12/89;
 190	 14940	 	     0.940	 	     0.000	1112	  09/90-05/91?; same data in (1202);
 190	 14965	<	     0.470	 	     0.000	 609	  08/85;
 190	 14965	 	     1.010	 	     0.000	1022	  12/89-02/91;
 190	 20000	<	     3.700	 	     0.000	 713	  08/84;
 190	 22000	 	     2.800	 	     0.000	1022	  12/89-02/91;
 190	 22400	 	     2.600	 	     0.000	1112	  09/90-05/91?; same data in (1202);
 190	 90000	 	   408.000	 	     0.000	 950	  01/87; flare?;
 190	230000	 	   116.000	 	     0.000	 821	  08/90;
 190	230000	 	    50.000	 	     0.000	1404	  12/95-03/96;
 190	250000	 	   129.000	 	     0.000	 950	  2 obs. 12/86-01/88;
 190	250000	 	   139.000	 	     0.000	1400	  03/91;
 191	  4860	<	     0.230	 	     0.000	 656	  02/86;
 191	 15000	<	     5.000	<	    12.000	 158	  2 obs. 01-03/75;
 192	  5000	<	    10.000	 	     0.000	 379	  07/81;
 192	  8400	<	     5.400	 	     0.000	 617	  12 obs. 81-84;
 193	  8440	 	     0.180	 	     0.000	1256	  01/96;
 193	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
 194	  2695	<	    15.000	 	     0.000	 156	  09/73;
 194	  8085	<	    15.000	 	     0.000	 156	  09/73;
 194	 10600	<	    24.000	 	     0.000	 351	  72-79;
 195	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 196	230000	<	    12.000	 	     0.000	 821	  03/90;
 197	  1465	<	     4.200	 	     0.000	 463	  03/83;
 197	  4885	<	     0.600	 	     0.000	 463	  03/83;
 197	 10650	<	    70.000	 	     0.000	 463	  03/83;
 197	 14695	<	     2.700	 	     0.000	 463	  03/83;
 198	  8440	 	     0.254	 	     0.000	 953	  01/93; same data in (1097);
 199	  8400	<	     4.200	 	     0.000	1115	  10 obs. 02/89-05/90;
 200	 10600	<	    18.000	 	     0.000	 351	  72-79;
 201	  4860	<	     0.500	 	     0.000	 692	  2 obs. 07/79-03/84; part of data in (308);
 201	  4885	<	     0.500	 	     0.000	 638	  11/84;
 201	  8450	 	     0.110	<	     0.270	1278	  2 obs. 09-10/94;
 202	  1600	 	     2.500	 	     0.000	1059	  11/93;
 202	  4705	 	     1.500	 	     0.000	1062	  09/83;
 202	  8163	 	     1.200	 	     0.000	1064	  03/90;
 202	  8440	 	     1.100	 	     0.000	1059	  11/91;
 202	 14700	 	     0.750	 	     0.000	1059	  03/86;
 202	 15035	<	     1.400	 	     0.000	1061	  02/79;
 202	 22335	<	     3.500	 	     0.000	1061	  02/79;
 202	 23400	<	     1.500	 	     0.000	1063	  01/88;
 203	  5000	<	     4.000	 	     0.000	 220	  10-11/76;
 204	  2380	<	     3.000	 	     0.000	 504	  3 obs. 02-04/80;
 205	  5000	<	     2.000	 	     0.000	1188	  07/92;
 206	  8440	<	     0.150	 	     0.000	1351	  02-03/97;
 207	  1490	<	     0.800	 	     0.000	 692	  08/85;
 207	  4860	 	     0.500	<	     0.300	 692	  4 obs. 05/80-08/85; part of data in (343);
 208	  4860	 	     0.200	<	     0.200	 692	  12/80-08/85; part of data in (628);
 208	  4885	<	     0.400	 	     0.000	 308	  07/79;
 208	 14940	<	     0.200	 	     0.000	 692	  08/85;
 209	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 210	   843	 	     1.000	<	     1.000	 576	  2 obs. 10/85;reality of detection questioned in (629);
 210	  4885	 	     1.340	<	     0.590	 636	  5 obs. 06/85-02/86;
 210	  8264	 	     0.520	 	     0.000	1003	  05/92;
 210	  8500	 	     3.020	 	     0.000	 900	  01/92;
 210	 14864	<	     0.230	 	     0.000	1003	  05/92;
 211	  4885	<	     0.300	 	     0.000	 817	  ?;
 212	  4885	<	     1.100	 	     0.000	 817	  ?;
 213	  5000	<	     4.000	 	     0.000	 220	  10-11/76;
 214	  4885	<	     0.800	 	     0.000	 817	  ?;
 215	  4885	<	     0.700	 	     0.000	 817	  ?;
 216	  8400	<	     0.210	 	     0.000	1040	  11/93;
 217	  8440	<	     0.210	 	     0.000	1256	  01/96;
 218	   392	 	   106.000	 	    61.000	1151	  3 obs. 07/94;
 218	   408	<	    50.000	 	     0.000	 623	  07-09/84;
 218	  1420	 	   103.000	 	    14.400	 623	  36 obs. 07-09/84;
 218	  1420	 	   178.000	 	   130.000	 812	  2 obs. 08/90; HI absorption spectrum derived;
 218	  1465	 	   160.000	 	    50.000	 276	  4 obs. 02-07/78;
 218	  1465	 	   172.400	 	    35.900	1151	  16 obs. 06-07/94; monitored over 1 binary period;
 218	  1500	 	   148.000	 	    39.000	1128	  10 obs. 08-09/92; 3 outbursts;
 218	  1660	 	    40.000	 	     0.000	 655	  10/83;VLBI for astrometric purpose,J2000;same in (670)
 218	  2250	 	   245.000	 	    10.000	1265	  6628 obs. 01/94-02/96; monitored daily;period change?;
 218	  2250	 	   280.000	 	    15.000	1372	  01/94-04/96, monitored 75 days;
 218	  2290	<	    47.000	 	     0.000	 549	  07/82;
 218	  2695	 	   120.000	 	     0.000	 276	  03/78;
 218	  4850	 	   171.000	<	    18.000	 691	  30 obs. 07/84-09/86;
 218	  4850	 	    45.000	 	     0.000	 825	  10/87;
 218	  4885	 	   160.000	 	    45.000	 276	  6 obs. 02-06/78;
 218	  4885	 	    60.000	 	    30.000	 226	  02/77; flares;
 218	  4885	 	   119.000	 	    19.000	1128	  10 obs. 08-09/92; 3 outbursts;
 218	  4885	 	   168.500	 	    27.400	1151	  16 obs. 06-07/94; monitored over 1 binary period;
 218	  4885	 	   131.000	 	    76.000	1234	  2 obs. 09/93; monitored 7h and VLBI size 1.5x1.2'';
 218	  4885	 	  2740.000	 	  1650.000	1253	  3 obs. 06/90-09/93; monitored 10h each; microflaring;
 218	  5000	 	   285.000	<	    15.000	 225	  08/77; flares;
 218	  5000	 	   285.000	<	    15.000	 232	  14 obs. 08/77;
 218	  5000	 	   200.000	 	    15.000	 294	  77-79; periodic variation;
 218	  5000	 	   300.000	<	    15.000	 347	  5 obs. 77-78;
 218	  5000	 	   284.000	<	    10.000	 370	  72 obs. 08/77-01/81; determination of period;
 218	  5000	 	   310.000	 	     3.000	 456	  25 obs. 08-09/81; flare; new period of 26.496 days;
 218	  5000	 	   240.000	 	    40.000	 895	  2 obs. 09-10/87; VLBI, size 3.2 and <3. mas,
 218	  5000	 	   244.000	 	   205.000	 920	  06/90; 14 hours VLBI obs.; size 1.6x1.0 mas; double;
 218	  5000	 	    35.000	 	    22.000	1272	  04/92; 24 hours VLBI;flare;size 2 mas;expansion 0.06c;
 218	  5000	 	   131.000	 	    60.000	1295	  2 obs. 09/93; VLBI; core-halo structure;
 218	  6250	 	    50.000	 	     0.000	 276	  03/78;
 218	  8085	 	   126.000	 	     0.000	 276	  03/78;
 218	  8300	 	   275.000	 	    10.000	1265	  6628 obs. 01/94-02/96; monitored daily;period change?;
 218	  8300	 	   300.000	<	    10.000	1152	  >4000 obs. 01/94-05/95; covering 17 binary periods;
 218	  8300	 	   220.000	 	    10.000	1372	  01/94-04/96, monitored 75 days;
 218	  8400	 	    18.000	 	     0.000	 444	  03/83; VLBI; for astrometric purpose,J2000, in (670);
 218	  8400	 	   109.000	<	    17.000	 618	  9 obs. 07/82-06/86; part of data in (549) and (518);
 218	  8400	 	   198.000	<	     8.000	 917	  22 obs. 10/90-05/92;
 218	  8400	 	   111.700	 	     9.200	 758	  34 obs. 09/88-01/89; radio light curve study;
 218	  8440	 	   134.500	 	    21.150	1151	  16 obs. 06-07/94; monitored over 1 binary period;
 218	 10500	 	   140.000	<	    25.000	 276	  12 obs. 03/78-12/78; flares;
 218	 10500	 	   250.000	 	    18.000	 456	  10 obs. 08-09/81; flare; new period of 26.496 days;
 218	 10500	 	   220.000	<	    15.000	 370	  72 obs. 02/78-03/81;
 218	 10700	 	   200.000	 	    15.000	 294	  77-79; periodic variation;
 218	 10700	 	   278.000	<	    36.000	 403	  66 obs. 05/81-04/82; period=27 d;
 218	 14965	 	    94.700	 	    12.700	1151	  14 obs. 06-07/94; monitored over 1 binary period;
 218	 15000	 	   180.000	 	    10.000	1372	  03-04/96, monitored 35 days;
 218	 15000	 	    45.000	 	    19.000	1398	  10 obs. 03/98;
 218	 15035	 	   160.000	<	   150.000	 276	  2 obs. 02-06/78;
 218	 20500	<	   200.000	<	    77.000	 276	  2 obs. 03/78;
 218	 22000	 	    71.400	 	     5.000	1151	  13 obs. 06-07/94; monitored over 1 binary period;
 218	 22485	 	   250.000	 	    70.000	 276	  3 obs. 02-06/78;
 218	 36000	<	   120.000	 	     0.000	 999	  2 obs. 01-03/86;
 218	150000	<	   100.000	 	     0.000	1149	  09/93;
 218	250000	<	    18.000	 	     0.000	 950	  12/87-01/88;
 218	250000	 	    14.000	<	     6.000	1398	  8 obs. 03/98;
 219	  1400	<	     0.600	 	     0.000	1161	  02/94;
 219	  4885	 	     0.330	 	     0.000	1266	  06/90-09/93;
 220	  4800	<	     1.500	 	     0.000	1115	  04-10/89;
 220	  8400	<	     4.200	 	     0.000	1115	  10 obs. 02/89-05/90;
 221	  4885	<	     0.200	 	     0.000	 358	  /80;
 222	  8400	<	     5.100	 	     0.000	 714	  11 obs. 02/87-07/88;
 223	  4885	<	     0.500	 	     0.000	1188	  01/92;
 224	 10600	<	    25.000	 	     0.000	 203	  05/73;
 224	 10600	<	    21.000	 	     0.000	 351	  72-79;
 224	 10690	<	     5.000	 	     0.000	 155	  02/73;
 225	  4885	 	     0.300	 	     0.000	 638	  11/84;
 225	 14965	<	     2.000	 	     0.000	 638	  11/84;
 226	  4885	<	     0.140	 	     0.000	 582	  06/84;
 227	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 228	230000	<	    39.000	 	     0.000	1267	  08/92;
 229	   430	<	   180.000	 	     0.000	 217	  11-12/75;
 230	  4860	<	     0.400	 	     0.000	 622	  11/84-02/86;
 230	  4885	 	     0.890	 	     0.000	 738	  02/86; same data in (889);
 230	  8400	 	    10.300	 	     8.400	 617	  11 obs. 81-84; 2nd value: (617) only lists the median;
 231	  4885	<	     0.600	 	     0.000	 817	  ?;
 232	  4885	<	     0.120	 	     0.000	1264	  10/92;
 233	  4885	<	     1.000	 	     0.000	 357	  12/79;
 234	   843	<	     5.000	 	     0.000	 629	  86/87;
 234	  1400	<	     0.600	 	     0.000	1161	  02/94;
 234	  8400	<	     7.000	 	     0.000	 617	  12 obs. 81-84;
 235	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
 236	  8440	 	     0.090	 	     0.000	1104	  01/93;
 236	 10690	<	     5.000	 	     0.000	 155	  06/73;
 237	230000	<	     6.600	 	     0.000	 739	  07/87-04/89;
 237	230000	 	    20.700	 	     0.000	 846	  08/90;
 237	345000	<	    30.000	 	     0.000	 739	  07/87-04/89;
 237	375000	<	    25.000	 	     0.000	 755	  08/88; same data in (966);
 238	  1465	 	     1.100	 	     0.000	1264	  02/92;
 238	  1490	 	     1.700	 	     1.000	 915	  2 obs. 02-03/89;
 238	  1490	 	     1.600	 	     0.900	1334	  7 obs. 10/91-02/92;
 238	  2695	<	    10.000	 	     0.000	 212	  /75;
 238	  4885	 	     1.360	 	     0.000	 535	  06/85;
 238	  4885	 	     3.250	 	     1.250	 823	  2 obs. 11/84-02/89; part of data in (699);
 238	  4885	 	     1.200	 	     0.000	 915	  2 obs. 02-03/89;
 238	  4885	 	     1.600	 	     0.000	1264	  02/92;
 238	  4885	 	     3.730	 	     0.590	1334	  9 obs. 10/91-04/92;
 238	  5000	<	     5.000	 	     0.000	 155	  06/73;
 238	  8085	<	    10.000	 	     0.000	 212	  /75;
 238	  8400	 	     1.100	 	     0.800	 915	  2 obs. 02-03/89;
 238	  8440	 	     1.500	 	     0.000	1264	  02/92;
 238	  8440	 	     3.890	 	     0.630	1334	  9 obs. 10/91-04/92;
 238	 10690	<	     5.000	 	     0.000	 155	  05/73;
 238	 14900	 	     0.800	 	     0.700	 915	  2 obs. 02-03/89;
 238	 14900	 	     3.900	 	     0.400	1334	  9 obs. 10/91-04/92;
 238	 14965	 	     1.200	 	     0.000	1264	  02/92;
 238	 22000	 	     3.900	<	     0.600	1334	  9 obs. 10/91-04/92;
